Tanggal,Object_ID,Provinsi,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId
2020/03/07 00:00:00+00,186,Jawa Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,186,154
2020/03/07 00:00:00+00,187,Kalimantan Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,187,155
2020/03/07 00:00:00+00,188,Kalimantan Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,188,156
2020/03/07 00:00:00+00,189,Kalimantan Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,189,157
2020/03/07 00:00:00+00,190,Kalimantan Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,190,158
2020/03/07 00:00:00+00,191,Kalimantan Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,191,159
2020/03/07 00:00:00+00,192,Kepulauan Riau,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,192,160
2020/03/07 00:00:00+00,193,Nusa Tenggara Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,193,161
2020/03/07 00:00:00+00,194,Sumatera Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,194,162
2020/03/07 00:00:00+00,195,Sumatera Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,195,163
2020/03/07 00:00:00+00,196,Sulawesi Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,196,164
2020/03/07 00:00:00+00,197,Sumatera Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,197,165
2020/03/07 00:00:00+00,198,Sulawesi Tenggara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,198,166
2020/03/07 00:00:00+00,199,Sulawesi Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,199,167
2020/03/07 00:00:00+00,200,Sulawesi Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,200,168
2020/03/12 00:00:00+00,362,Kalimantan Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,362,169
2020/03/03 00:00:00+00,61,Lampung,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,61,170
2020/03/10 00:00:00+00,312,Sulawesi Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,312,171
2020/03/12 00:00:00+00,363,Kalimantan Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,363,172
2020/03/04 00:00:00+00,102,Sulawesi Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,102,173
2020/03/03 00:00:00+00,62,Riau,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,62,174
2020/03/10 00:00:00+00,313,Nusa Tenggara Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,313,175
2020/03/12 00:00:00+00,364,Kalimantan Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,364,176
2020/03/04 00:00:00+00,103,Nusa Tenggara Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,103,177
2020/03/03 00:00:00+00,63,Maluku Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,63,178
2020/03/10 00:00:00+00,314,Gorontalo,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,314,179
2020/03/12 00:00:00+00,365,Kalimantan Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,365,180
